NN,Description,Justification
18,"Գազատար խողովակները չունեն արտադրող գործարանների հավաստագրեր կամ սեփականատիրոջ կողմից հաստատված դրանց պատճենները, որոնք հաստատում են խողովակների համապատասխանությունը ազգային ստանդարտներին կամ տեխնիկական պայմաններին։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 7-րդ բաժնի 11-րդ գլխի 327-րդ կետ։"
19,"Հակագազերը, փրկարար գոտիները, ապահովման ճոպանի կեռիկները և թոկերը սահմանված կարգով պարբերաբար չեն փորձարկվել։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 8-րդ բաժնի 403-րդ կետ։"
20,Շահագործման հանձնելուց հետո առնվազն 5 տարին մեկ անգամ չեն ստուգվել բոլոր ստորգետնյա պողպատյա գազատարների խողովակների պաշտպանիչ ծածկաշերտերի վիճակը և ամրությունը։,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, որոշում, հավելվածի 2-րդ բաժնի 3-րդ գլխի 127-րդ կետ։"
21,"Կաթսաների մեքենավարների /սպասարկող անձնակազմի/, գազային վառելիք օգտագործող արդյունաբերական վառարանների և ագրեգատների աշխատողների, ինչպես նաև գազավտանգավոր աշխատանքներ իրականացնող աշխատողների (այդ թվում նաև եռակցողների), գիտելիքների ստուգումը չի անցկացվել կազմակերպության ղեկավարի հրամանով ստեղծված հանձնաժողովի կողմից` պետական վերահսկողության իրավասություն ունեցող լիազոր մարմնի մասնագետի մասնակցությամբ։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 1-ին բաժնի 1-ին գլխի 7-րդ կետ։"
22,Գազատարի ամրության և կիպության փորձարկման արդյունքները չեն գրանցվել շինարարական տեղեկաթերթիկներում և/կամ չեն հաստատվել համապատասխան ստորագրություններով։,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 7-րդ բաժնի 15-րդ գլխի 373-րդ կետ։"
23,"Կազմակերպության գազի տնտեսությունները շահագործող ինժեներատեխնիկական անձնակազմի (ԻՏԱ), գազավտանգավոր աշխատանքներ իրականացնող ԻՏԱ, գազամատակարարման օբյեկտների շինարարությունն իրականացնող շինմոնտաժային կազմակերպությունների ԻՏԱ գիտելիքների ստուգումը չի անցկացվել կազմակերպության ղեկավարի հրամանով ստեղծված հանձնաժողովի կողմից` պետական վերահսկողության իրավասություն ունեցող մարմնի ներկայացուցչի մասնակցությամբ։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 1-ին բաժնի 1-ին գլխի 5-րդ կետ։"
24,Կազմակերպության ղեկավարի հրամանով ղեկավար ԻՏԱ-ի թվից չի նշանակվել գազի տնտեսության անվտանգ շահագործման համար պատասխանատու անձ։,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 1-ին բաժնի 1-ին գլխի 13-րդ կետ։"
25,"Բոլոր վերգետնյա և ստորգետնյա գազատարները շահագործման ընթացքում չեն ենթարկվում պարբերական պրոֆիլակտիկ ստուգման՝ նրանց կիպությունը, խողովակաշարի մետաղի, զոդակարերի, կոռոզիոն և մեկուսացման վիճակը որոշելու համար։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 1-ին բաժնի 3-րդ գլխի 111-րդ կետ։"
26,Բոլոր վերգետնյա և ստորգետնյա գազատարների պարբերական պրոֆիլակտիկ ստուգումները չեն անցկացվում նախօրոք կազմված և գազի տնտեսության կազմակերպության տեխնիկական ղեկավարի կողմից հաստատված ժամանակացույցի համաձայն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 1-ին բաժնի 3-րդ գլխի 111-րդ կետ։"
27,Բոլոր աշխատողներին վարչական անձնակազմի կողմից անձնական ստորագրությամբ չեն հանձնվել իրենց մասնագիտություններին վերաբերող աշխատանքների անվտանգ մեթոդների վերաբերյալ հրահանգները՝ կազմակերպության կողմից հաստատված։,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 1-ին բաժնի 1-ին գլխի 6-րդ կետի 1-ին ենթակետ։"
28,"Գազավտանգ աշխատանքների կարգագրերը չեն գրանցվում մատյանում, որը համարակալված և կարված է։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի հավելված N 26-ի 2-րդ գլխի 6-րդ կետ։"
29,Գազավտանգ աշխատանքների կարգագրերը չեն պահվում այն հանձնման օրվանից մեկ տարի ժամկետով։,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի հավելված N 26-ի 2-րդ գլխի 6-րդ կետ։"
30,"Էլեկտրապաշտպանիչ սարքավորումների կարգավորման և շահագործման աշխատանքները, ինչպես նաև էլեկտրական չափումները չեն իրականացնում հատուկ պատրաստություն անցած և մինչև 1000 Վ լարում ունեցող սարքավորումների հետ աշխատելու թույլտվության համապատասխան վկայականներ ունեցող աշխատակազմի կողմից։","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 3-րդ գլխի 103-րդ կետ։"
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41.1,,
41.2,,
41.3,,
41.4,,
42,,
43,,
44.1,,
44.2,,
44.3,,
44.4,,
45,,
46,,
47,,
48,,
49,,
50.1,,
50.2,,
51.1,,
51.2,,
51.3,,
52,,
53,,
54.1,,
54.2,,
54.3,,
54.4,,
54.5,,
54.6,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
