NN,Description,Justification
6,"Հողակցող տարրերի և հողակցիչի միջև շղթաների, բնական հողակցիչների և հողակցող սարքվածքների միացումների առկայության և վիճակի հսկումը` առնվազն 12 տարին մեկ, չի կատարվում։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 45-րդ գլխի 856-րդ կետի 2-րդ ենթակետ։"
7,"Հողակցող սարքվածքների տեղակայումից, վերակառուցումից և հիմնական նորոգումից հետո, առնվազն 6 տարին մեկ, հպման լարումների չափումները չեն կատարվում։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 45-րդ գլխի 858-րդ կետ։"
8.1,"Աշխատանքի թույլտվությունն ըստ կարգադրության՝ կարգագրերով և կարգադրություններով աշխատանքների հաշվառման մատյանում, չի ձևակերպվում։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 12-րդ գլխի 138-րդ կետի 2-րդ ենթակետ։"
8.2,"Աշխատանքի թույլտվությունն ըստ կարգադրության՝ օպերատիվ մատյանում` աշխատանքների թույլտվության մասին գրառմամբ, չի ձևակերպվում։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 12-րդ գլխի 138-րդ կետի 2-րդ ենթակետ։"
9,Կարգագրով կամ կարգադրությամբ աշխատանքների սկզբին նախորդող նպատակային հրահանգավորումը չի իրականացվում։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 12-րդ գլխի 128-րդ կետ։"
10,"Կարգագրով աշխատելիս նպատակային հրահանգավորումը, առաջնային թույլտվության նպատակային հրահանգավորման մատյանում, չի ձևակերպվում։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 12-րդ գլխի 136-րդ կետ։"
11,"Կարգադրությամբ աշխատելիս նպատակային հրահանգավորումը, կարգագրերով և կարգադրություններով աշխատանքների հաշվառման մատյանում չի ձևակերպվում։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 12-րդ գլխի 137-րդ կետ։"
12,ԵԿ-ի հիմնական և օժանդակ սարքավորումների նորոգման հեռանկարային տարեկան և ամսական ժամանակացույցներն առկա չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 9-րդ գլխի 90-րդ կետ։"
13,"ԵԿ-ում, կազմակերպության տեխնիկական ղեկավարի կողմից հաստատված, հրահանգների, դրույթների, տեխնոլոգիական, օպերատիվ սխեմաների ցանկն առկա չէ։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 106-րդ կետ։"
14,Մալուխուղիների և բաց ԲՍ-ի ու փակ ԲՍ-ի վերգետնյա վաքերն ամբողջությամբ ծածկված չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 717-րդ կետ։"
15.1,ԲՍ-ի տարածքում յուղընդունիչները սարքին (գործուն) վիճակում չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 718-րդ կետ։"
15.2,ԲՍ-ի տարածքում յուղահավաքիչները սարքին (գործուն) վիճակում չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 718-րդ կետ։"
15.3,ԲՍ-ի տարածքում կոպճային լցվածքները սարքին վիճակում չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 718-րդ կետ։"
15.4,ԲՍ-ի տարածքում ջրահեռացումը սարքին վիճակում չէ։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 718-րդ կետ։"
15.5,ԲՍ-ի տարածքում յուղահեռացման սարքվածքները սարքին վիճակում չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 718-րդ կետ։"
16,1000 Վ բարձր լարման էլեկտրասարքավորումների նորոգման աշխատանքները չեն կատարվում տեխնոլոգիական քարտերով կամ աշխատանքների կատարման նախագծով։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 56-րդ կետ։"
17.1,"Կուտակիչ կայանքն սպասարկող անձնակազմն ապահովված չէ մարտկոցի առանձին տարրերի լարման, էլեկտրոլիտի խտության և ջերմաստիճանի հսկման սարքերով։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 40-րդ գլխի 759-րդ կետի 1-ին ենթակետ։"
17.2,Կուտակիչ կայանքն սպասարկող անձնակազմն ապահովված չէ հատուկ համազգեստով և հատուկ գույքով` համաձայն շահագործող կազմակերպության հրահանգի։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 40-րդ գլխի 759-րդ կետի 2-րդ ենթակետ։"
18,Բաց ԲՍ(ԲԲՍ)-ի և ԵԿ-ի տարածքները ցանկապատված չեն արտաքին ցանկապատով` 1.6 մ բարձրությամբ։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 4-րդ 3-րդ բաժնի 10-րդ գլխի 57-րդ կետի 3-րդ ենթակետ։"
19,"Էլեկտրատեղակայանքների սրահների, խցերի, վահանակների, հավաքվածքների դռները փակված չեն փականով։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 65-րդ կետ։"
20,Նորոգման լուսավորության ձեռքի շարժական լուսատուների սնման ցանցը սարքին չէ։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 58-րդ գլխի 1052-րդ կետ։"
21.1,"Փակ ԲՍ (ՓԲՍ)-ի խցիկների դռների և ներքին պատերի, բաց բաշխիչ սարքվածքի (ԲԲՍ) սարքավորման, լրակազմ ԲՍ լրակազմ բաշխիչ սարքվածքի (ԼԲՍ) արտաքին և ներքին դիմային մասերի, հավաքվածքների, ինչպես նաև վահանների դիմային և հակառակ կողմերի վրա կազմակերպության անվտանգության ստանդարտի համաձայն, ԲՍ-ի դռների վրա նախազգուշական նշաններն առկա են։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 726-րդ կետ։"
21.2,"Փակ ԲՍ (ՓԲՍ)-ի խցիկների դռների և ներքին պատերի, բաց բաշխիչ սարքվածքի (ԲԲՍ) սարքավորման, լրակազմ ԲՍ լրակազմ բաշխիչ սարքվածքի (ԼԲՍ) արտաքին և ներքին դիմային մասերի, հավաքվածքների, ինչպես նաև վահանների դիմային և հակառակ կողմերի վրա, սարքավորման իրանի մետաղական մասերի վրա ֆազերի գունավորումը նշված չէ։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 726-րդ կետ։"
22,Գործուղված անձնակազմը մինչև ինքնուրույն աշխատանքի անցնելը սահմանված կարգով չի հանձնել քննություն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 23-րդ գլխի 572-րդ կետ։"
23.1,Աշխատանքային և վթարային լուսավորման համակարգերը բնականոն ռեժիմում չեն սնվում տարբեր անկախ սնման աղբյուրներից։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 58-րդ գլխի 1051-րդ կետ։"
23.2,"Աշխատանքային և վթարային լուսավորման համակարգերը ենթակայանում և կարգավարական կետերում սնման աղբյուրների անջատման դեպքում, վթարային լուսավորման համակարգի սնուցումն ավտոմատ կերպով չի հոսանքափոխվում կուտակիչ մարտկոցի կամ սնման այլ անկախ աղբյուրի վրա։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 58-րդ գլխի 1051-րդ կետ։"
24,էլեկտրահաղորդման օդային գծի (ՕԳ) ուղեգծի և բաշխիչ սարքվածքների (ԲՍ) տարածքի բնահողի հաղորդականության մասին տվյալներն առկա չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 46-րդ գլխի 860-րդ կետի 7-րդ ենթակետ։"
25,Օդի հարկադիր և յուղի բնական շրջանառությամբ տրանսֆորմատորների (Դ) հովացման սարքվածքները չեն գործում։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 38-րդ գլխի 689-րդ կետ։"
26,ԲՍ-երը սարքավորված չեն գործուն վիճակում գտնվող օպերատիվ ուղեկապերով։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 4-րդ 3-րդ բաժնի 10-րդ գլխի 41-րդ կետ։"
27,Էլեկտրատեղակայանքների բանալիների պահպանման և հաշվառման կարգը չի պահպանվում։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 66-րդ կետ։"
28,Տրանսֆորմատորների (ռեակտորների) հովացման սարքվածքների էլեկտրաշարժիչների սնումը չի իրականացվում երկու աղբյուրից։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 38-րդ գլխի 685-րդ կետ։"
29.1,ԲՍ-ում առկա չեն շարժական հողակցումներ։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 725-րդ կետ։"
29.2,ԲՍ-ում առկա չեն առաջին օգնություն ցույց տալու միջոցներ։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 725-րդ կետ։"
29.3,ԲՍ-ում առկա չեն պաշտպանական և հակահրդեհային միջոցներ։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 725-րդ կետ։"
30,Տանիքի մետաղական ծածկով փակ ԲՍ-ի և ԵԿ-ի շենքերի պաշտպանության հողակցումներն արված չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 4-րդ 3-րդ բաժնի 16-րդ գլխի 151-րդ կետի 2-րդ ենթակետ։"
31,ԲՍ-ի և ցածրավոլտ լրակազմ սարք (ՑԼՍ-ի) ոչ բոլոր մետաղական մասերը ունեն հակաքայքայիչ ծածկույթ։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 4-րդ 2-րդ բաժնի 3-րդ գլխի 8-րդ կետ։"
32,"Էլեկտրասենքերում սպասարկման անցամասերը, որոնք գտնվում են վահանի դիմային կամ հետևի մասում, չեն համապատասխանում սահմանված պահանջներին:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 4-րդ 2-րդ բաժնի 7-րդ գլխի 24-րդ կետ։"
33,ԲՍ-երի (ենթակայանների) և 4 մ-ից ավելի բարձրության առկա ծառերի միջև հեռավորությունը պահպանված չէ:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 4-րդ 3-րդ բաժնի 10-րդ գլխի 53-րդ կետ։"
34,Արտաքին պատերի մյուս անցքերը՝ կենդանիների և թռչունների ներս թափանցումը կանխելու համար (10 x10) մմ չափի բջիջներ ունեցող ցանցերով կամ վանդակներով պաշտպանված չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 4-րդ 3-րդ բաժնի 13-րդ գլխի 126-րդ կետ։"
35,Ամպրոպային գերլարումներից ՓԲՍ-ի և ԵԿ-ի շենքերի տանիքի ոչ մետաղական կամ երկաթբետոնյա ծածկ ունենալու դեպքում պաշտպանված չեն ձողային շանթարգելներով և տանիքի վրա տեղադրված չէ կայծակընդունիչ ցանց:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 4-րդ 3-րդ բաժնի 16 գլխի 151-րդ կետի 4-րդ ենթակետ։"
36,Կուտակիչ մարտկոցի սենքում մեկ լուսատու միացված չէ վթարային լուսավորության ցանցին։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 4-րդ 5-րդ բաժնի 25-րդ գլխի 279-րդ կետ։"
37,ԲԲՍ-ի պաշտպանությունը կայծակի ուղիղ հարվածներից իրագործված րէ առանձին կանգնած կամ կոնստրուկցիաների վրա տեղակայված ձողային շանթարգելներով:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 4-րդ 3-րդ բաժնի 16-րդ գլխի 152-րդ կետ։"
38,"Էլեկտրակայանի արտադրամասերի, անձնակազմի մշտական հերթապահությամբ կառավարման վահանների, կարգավարական կետերի օպերատիվ-կարգավարական անձնակազմի աշխատատեղերում առկա չեն կամ լրացվել չեն օրական ամփոփաթերթեր։","ՀՀ Կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 117-րդ կետ։"
39,"Մետաղական թաղանթով կամ զրահով մալուխները, ինչպես նաև մալուխային կառուցվածքները, որոնց վրա անցկացվում են մալուխները, հողակցված կամ զրոյացված չեն:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 2-րդ 4-րդ բաժնի 17-րդ գլխի 196-րդ կետ։"
40,"Ոչ բոլոր մալուխային գծերն ունեն իրեց համարը կամ անվանումը, բաց անցկացված մալուխները, կամ մալուխային կցորդիչները չունեն պիտակներ, որոնց վրա նշված են մակնիշները, լարումները, հատույթները, գծի համարները կամ անվանումները:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 592-Ն որոշում, հավելվածի մաս 2-րդ 4-րդ բաժնի 12-րդ գլխի 150-րդ կետ։"
41,ԲԲՍ-ի տարածքում առկա է ծառաթփուտային բուսականություն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 716-րդ կետ։"
42,"Յուղի մակարդակը յուղային անջատիչներում, չափիչ տրանսֆորմատորներում և ներանցիչներում շրջակա օդի առավելագույն և նվազագույն ջերմաստիճանների պայմաններում չի պահպանվում յուղացույցի սանդղակի սահմաններում:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 719-րդ կետ։"
43,Հաստատված նախագծային փաստաթղթերը կամ հետագա փոփոխությունները առկա չեն:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 104-րդ կետի 11-րդ ենթակետ։"
44,"Շահագործման մեջ գտնվող և շահագործումից դուրս հանված սարքավորումների շենքերի և շինությունների, կամ աշխատողների հաստիքներին համապատասխան պաշտոնեական հրահանգների փաստաթղթեր առկա չեն։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 104-րդ կետի 19-րդ ենթակետ։"
45,Նորոգումից հետո էլեկտրասարքավորումը չի փորձարկվում նորմերով որոշվող ծավալով:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 5-րդ գլխի 42-րդ կետ։"
46,"Փորձարկումների և չափումների արդյունքները չեն ձևակերպվում արձանագրություններով, կամ դրանք չեն պահվում էլեկտրասարքավորման անձնագրերի հետ միասին:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 5-րդ գլխի 48-րդ կետ։"
47,"Էներգաօբյեկտների արտադրական վտանգավոր օբյեկտները, որոնց վրա տարածվում են «Տեխնիկական անվտանգության ապահովման պետական կարգավորման մասին» և «Էներգետիկայի բնագավառում և էներգասպառման ոլորտում պետական տեխնիկական վերահսկողության մասին» օրենքները, չեն ենթարկվել պարբերական տեխնիկական փորձաքննության:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 8-րդ գլխի 80-րդ կետ։"
48,Արտաքին տեղակայման տրանսֆորմատորների և ռեակտորների բաքերի վրա չեն նշվել դրանց կայանային (ենթակայանային) համարները: Նույնպիսի համարներ չեն նշվել նաև տրանսֆորմատորային կետերի դռների վրա ու խցերի ներսում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 38-րդ գլխի 684-րդ կետ։"
49,Արտաքին տեղակայման տրանսֆորմատորները և ռեակտորները ներկված չեն բաց գույնով՝ մթնոլորտի և յուղի ներգործությունների նկատմամբ կայուն ներկերով:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 38-րդ գլխի 684-րդ կետ։"
50,Չաշխատող տրանսֆորմատորների (ռեակտորների) ընդարձակիչներում յուղը չի գտնվում տրանսֆորմատորի (ռեակտորի) մեջ եղած յուղի ջերմաստիճանին համապատասխանող նշագծի մակարդակում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 38-րդ գլխի 691-րդ կետ։"
51,Տրանսֆորմատորների (ռեակտորների) կանխարգելիչ փորձարկումները չեն իրականացվում ըստ էլեկտրասարքավորման փորձարկման նորմերի և արտադրող կազմակերպության շահագործման հրահանգների:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 38-րդ գլխի 708-րդ կետ։"
52,Չեն ձեռնարկվել ՓԲՍ-ի սենքերի և ԼԲՍ-ի խցիկների մեջ կենդանիների և թռչունների ներթափանցումը կանխող միջոցներ:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 715-րդ կետ։"
53,"Կուտակիչ մարտկոցի սենքի դռան վրա առկա չեն մակագրություններ. «Կուտակիչների սենք», «Հրդեհավտանգ է», «Ծխելն արգելվում է» և շկախված չեն բաց կրակից օգտվելն ու ծխելն արգելող անվտանգության համապատասխան նշաններ:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 40-րդ գլխի 756-րդ կետ։"
54,Կուտակիչ մարտկոցների սպասարկումն էլեկտրակայաններում և ենթակայաններում դրված չէ կուտակիչի մասնագետի կամ համատեղման կարգով հատուկ ուսուցում անցած էլեկտրամոնտյորի վրա:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 40-րդ գլխի 758-րդ կետ։"
55,Երկու ելք ունեցող ԲՍ-ում և անցումային թունելներում լուսավորման ցանցը իրականացված չէ երկկողմանի կառավարմամբ:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 58-րդ գլխի 1056-րդ կետ։"
56,"ԲՍ-ի երկկողմանի սպասարկման ՌՊԱ պանելների և պահարանների, ինչպես նաև կառավարման պանելների և վահանակների դիմային և հակառակ կողմերում առկա չեն դրանց կարգավարական անվանումներին համապատասխան մակագրություններ:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 44-րդ գլխի 827-րդ կետ։"
