NN,Description,Justification
9.1,Գազակարգավորիչ կետի (ԳԿԿ) և գազակարգավորիչ (ԳԿ) կայանքների տեղակայման պահարանները կատարված չեն չհրկիզվող նյութերից:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 6-րդ բաժնի 9-րդ գլխի 290-րդ կետ:"
9.2,Գազակարգավորիչ կետի (ԳԿԿ) և գազակարգավորիչ (ԳԿ) կայանքների տեղակայման պահարանները ստորին և վերին մասում չունեն օդափոխման անցքեր:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 6-րդ բաժնի 9-րդ գլխի 290-րդ կետ:"
9.3,Գազակարգավորիչ կետի (ԳԿԿ) և գազակարգավորիչ (ԳԿ) կայանքների տեղակայման պահարանները ամրացված չեն դրանցում գտնվող սարքավորումների սպասարկման և նորոգման համար բարձրության վրա:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 6-րդ բաժնի 9-րդ գլխի 290-րդ կետ:"
10.1,ԳԿ կայանքի տեղակայման վայրը չի օդափոխվում և/կամ լուսավորվում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 6-րդ բաժնի 9-րդ գլխի 292-րդ կետ:"
10.2,ԳԿ կայանքի սարքերը և սարքավորումները պաշտպանված չեն մեխանիկական ազդեցություններից և ցնցումներից:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 6-րդ բաժնի 9-րդ գլխի 292-րդ կետ:"
11.1,"Էլեկտրաքիմիական պաշտպանության սարքավորումների կարգաբերումից հետո նախագծով նախատեսված գոտում գազատարի նվազագույն և ամենամեծ պաշտպանիչ (բևեռացման) պոտենցիալները մինուս 0,85-ից մինչև մինուս 1,1 Վ սահմաններում չեն` ըստ համեմատական պղնձասուլֆատային էլեկտրոդի:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 7-րդ բաժնի 14-րդ գլխի 369-րդ կետ:"
11.2,"Էլեկտրաքիմիական պաշտպանության սարքավորումների կարգաբերումից հետո նախագծով նախատեսված գոտում  գործող գազատարի վրա հատուկ սարքավորված հսկիչ չափիչ կետերի բացակայության պարագայում գազատարի և համեմատական պղնձասուլֆատային էլեկտրոդի միջև պոտենցիալների տարբերության մեծությունները մինուս 0,87-ից մինչև մինուս 2,5 Վ սահմաններում չեն:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 7-րդ բաժնի 14-րդ գլխի 369-րդ կետ:"
12,"Գազատարների ամրության և կիպության փորձարկումները, բացառությամբ 0,3 ՄՊա-ից բարձր ճնշման արտաքին գազատարների, չեն կատարվում օդով:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 7-րդ բաժնի 15-րդ գլխի 376-րդ կետ:"
13,"Շահագործման ընդունված գազատարի համար կազմված տեխնիկական անձնագիր, որում նկարագրված են գազատարը բնութագրող հիմնական ցուցանիշները, առկա չէ:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 3-րդ գլխի 97-րդ կետ:"
14,Բնակավայրերում գազատարների և նրանց սարքավորումների շրջայցը չի կատարվում գազամատակարարող կազմակերպության կողմից որոշված և կազմակերպության տեխնիկական ղեկավարի (գլխավոր ճարտարագետ կամ տնօրենի տեղակալ տեխնիկական գծով) կողմից:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 3-րդ գլխի 98-րդ կետ:"
15.1,Ստորգետնյա գազատարների ուղեգծերի շրջայցի ժամանակ չեն կազմվել համարակալված երթուղիների ժամանակացույցերը:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 3-րդ գլխի 99-րդ կետ:"
15.2,"Ստորգետնյա գազատարների ուղեգծերի շրջայցի ժամանակ երթուղին չի պարունակել գազատարների ուղեգծերը, ինչպես նաև ստորգետնյա հաղորդակցման կապուղեգծերը և շենքերի նկուղները, որոնք գտնվում են գազատարից 15 մ հեռավորության վրա:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 3-րդ գլխի 99-րդ կետ:"
16.1,"Գազամատակարարող կազմակերպությունում յուրաքանչյուր ԳԿԿ-ի և ԳԿ կայանների համար կազմած տեխնիկական անձնագիրը, որը պարունակում է դրանց սարքավորումների, չափիչ-հսկիչ սարքերի և շինությունների հիմնական բնութագրերը, առկա չէ:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 9-րդ բաժնի 22-րդ գլխի 585-րդ կետ:"
16.2,Գազամատակարարող կազմակերպությունում ճնշման կարգավորիչների և ապահովիչ անջատող կափույրների գործարանային տեղեկաթերթիկներն առկա չեն:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 9-րդ բաժնի 22-րդ գլխի 585-րդ կետ:"
16.3,Գազամատակարարող կազմակերպությունում ԳԿԿ-ի և ԳԿ կայանների հսկիչ-չափիչ սարքերը դրոշմ կամ կապարակնիք չունեն:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-իN 539-Ն որոշում, հավելվածի 9-րդ բաժնի 22-րդ գլխի 585-րդ կետ:"
16.4,"Գազամատակարարող կազմակերպությունում գազամատակարարող ստորաբաժանումները չունեն կազմակերպության ստանդարտով սահմանված շահագործման տեխնիկական հրահանգներ, որոնք պարունակում են անվտանգության տեխնիկայի և հրդեհային անվտանգության պահանջները և շահագործման անհրաժեշտ պայմանները:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 9-րդ բաժնի 22-րդ գլխի 585-րդ կետ:"
17,ԳԿԿ-ի շինություններում կան մաքրման պարագաներ և հրկիզվող նյութեր:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 9-րդ բաժնի 22-րդ գլխի 594-րդ կետ:"
18,ԳԿԿ-ի (ԳԿ կայանքների) օդի ջերմաստիճանը գերազանցում է 500C-ը:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 9-րդ բաժնի 22-րդ գլխի 596-րդ կետ:"
19.1,Գազատարների տեխնիկական սպասարկման աշխատանքների արտադրական տեխնոլոգիական հրահանգներն առկա չեն:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 3-րդ գլխի 75-րդ կետ:"
19.2,Գազատարների տեխնիկական սպասարկման աշխատանքների աշխատանքների կատարման անվտանգ մեթոդների հրահանգներն առկա չեն:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 3-րդ գլխի 75-րդ կետ:"
19.3,Գազատարների տեխնիկական սպասարկման աշխատանքների հրդեհային անվտանգության հրահանգներն առկա չեն:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 3-րդ գլխի 75-րդ կետ:"
20.1,"Գազատարի տեխնիկական շահագործման շրջայցային կամ տեխնիկական սպասարկումը (զննում, կարգաբերում և մասնակի նորոգում) չի կատարվում:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 3-րդ գլխի 76-րդ կետ:"
20.2,Գազատարի տեխնիկական շահագործման պրոֆիլակտիկ պլանային նորոգումը չի կատարվում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 3-րդ գլխի 76-րդ կետ:"
21,"Գազատարի, կենսակոռոզիայից պաշտպանելու նպատակով,մոտակայքում (մինչև 15 մ հեռավորության վրա) կան կենցաղային և գյուղատնտեսական թափոնների կուտակումներ:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 3-րդ բաժնի 3-րդ գլխի 113-րդ:"
22.1,"ԳԿԿ և (ՊԳԿԿ) շահագործմանժամանակ առնվազն 2 ամիսը մեկ, կազմակերպության ստանդարտով սահմանված կարգով, տեխնիկական վիճակի զննումը, փակող և արտանետող ապահովիչ կափույրների գործելու պարամետրերի ստուգումը չեն կատարվում:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 5-րդ բաժնի 10-րդ գլխի 302-րդ կետի 2-րդ, 3-րդ ենթակետեր:"
22.2,ԳԿԿ և (ՊԳԿԿ) շահագործման ժամանակ նորոգումից հետո տեխնիկական սպասարկումն առնվազն 6 ամիսը մեկ չի կատարվում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 5-րդ բաժնի 10-րդ գլխի 302-րդ կետի 3-րդ ենթակետ:"
22.3,"ԳԿԿ և (ՊԳԿԿ) շահագործման ժամանակ ընթացիկ նորոգումը, առնվազն տարին մեկ, եթե ճնշման կարգավորիչների ապահովիչ կափույրներ, հեռամեխանիկական սարքեր պատրաստող գործարանների կողմից չի պահանջվում ավելի կարճ ժամկետ, չի կատարվում:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 5-րդ բաժնի 10-րդ գլխի 302-րդ կետի 4-րդ ենթակետ: "
22.4,"ԳԿԿ և (ՊԳԿԿ) շահագործման ժամանակ ըստ տեխնիկական զննման արդյունքներով կազմված թերությունների ցանկի` սարքավորումների, չափիչ սարքերի հիմնանորոգումը չի կատարվում:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 5-րդ բաժնի 10-րդ գլխի 302-րդ կետի 5-րդ ենթակետ: "
23,"ԳԿԿ (ԳԿՏ)-ում գազի արտահոսքը և ելքում գազի ճնշման կամայական բարձրացումը կամ իջեցումը, փականագործ-շրջայցողներից հայտ ստանալուց անմիջապես հետո, ՎԿԾ-ի աշխատողների կողմից չեն վերացվում:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 8-րդ բաժնի 21-րդ գլխի 606-րդ կետի 3-րդ ենթակետ:"
24,"ԳԿԿ (ԳԿՏ) տեխնիկական սպասարկումը (մասնագետի (վարպետի) ղեկավարությամբ, 3 անձից ոչ պակաս կազմով, փականագործների բրիգադի կողմից), առնվազն 6 ամիսը մեկ չի իրականացվում:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 8-րդ բաժնի 21-րդ գլխի 607-րդ կետ:"
25.1,Տեխնիկական սպասարկման ժամանակ առնվազն 2 ամիսը մեկ փակող արմատուրների և ապահովիչ կափույրների աշխատունակության և կիպության ստուգումը չի կատարվում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 7-րդ բաժնի 21-րդ գլխի 608-րդ կետի 1-ին ենթակետ:"
25.2,"Տեխնիկական սպասարկման ժամանակ առնվազն 2 ամիսը մեկ բոլոր միացումների և արմատուրների կիպության ստուգումը, գազի արտահոսքի վերացումը, զտիչների զննումը, շփվող մասերի յուղումը, խցուկների խտացումը չեն կատարվում:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 7-րդ բաժնի 21-րդ գլխի 608-րդ կետի 2-րդ, 3-րդ ենթակետեր:"
25.3,Տեխնիկական սպասարկման ժամանակ առնվազն 2 ամիսը մեկ  ճնշման կարգավորիչի թաղանթի (մեմբրանի) զգայնության և կիպության որոշումը չի կատարվում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 7-րդ բաժնի 21-րդ գլխի 608-րդ կետի 4-րդ ենթակետ:"
25.4,Տեխնիկական սպասարկման ժամանակ առնվազն 2 ամիսը մեկ բոլոր իմպուլսային խողովակների փչամաքրումը և ճնշման կարգավորումը չեն կատարվում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 7-րդ բաժնի 21-րդ գլխի 608-րդ կետի 5-րդ ենթակետ:"
25.5,Տեխնիկական սպասարկման ժամանակ առնվազն 2 ամիսը մեկ փակող և արտանետող կափույրների լարքի պարամետրերի ստուգումը չի կատարվում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 7-րդ բաժնի 21-րդ գլխի 608-րդ կետի 6-րդ ենթակետ"
