NN,Description,Justification
16.3,"Օպերատիվ փաստաթղթերը, գրանցող ստուգիչ-չափիչ սարքերի դիագրամները, օպերատիվ-կարգավարական խոսակցությունների ձայնագրությունները, ԿԱՀ-ի օպերատիվ-տեղեկատվական համալիրի կազմած ելքային փաստաթղթերը չեն պահվում են վթարների և աշխատանքի ժամանակ տեղի ունեցած այլ խախտումների դեպքում օպերատիվ խոսակցությունների ձայնագրությունները՝ պետք է պահվեն մինչև քննության ավարտը։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 119-րդ կետի 3-րդ ենթակետ:"
17,6 կՎ և բարձր լարման ընդհանուր նշանակության ցանցերից սնվող կազմակերպության կողմից էլեկտրատեխնիկական անձնակազմից չի նշանակվել էլեկտրամատակարարի հետ օպերատիվ խոսակցությունների վարման իրավունք և պարտականություն ունեցող պատասխանատու անձ (անձինք)։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 1-ին բաժնի 5-րդ գլխի 34-րդ կետ:"
18,էլեկտրամատակարարի հետ օպերատիվ խոսակցությունների վարման իրավունք և պարտականություն ունեցող պատասխանատու անձի տվյալները և հեռախոսահամարները գրավոր չեն ներկայացվել էլեկտրամատակարար կազմակերպություն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 1-ին բաժնի 5-րդ գլխի 34-րդ կետ:"
19,"էլեկտրատեղակայանքների սպասարկող աշխատողների, գործող էլեկտրատեղա­կայանքներում պայմանագրային հիմունքներով աշխատանքներ կատարող աշխատողների յուրաքանչյուր աշխատատեղում առկա չեն աշխատանքային գործընթացում ռիսկերի գնահատման, աշխատողների անվտանգության ապահովման ու առողջական վիճակի վերաբերյալ կազմված անձնագրերը։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 7-րդ գլխի 38-րդ կետի 2-րդ ենթակետ:"
20,"Գործող էլեկտրատեղակայանքներում աշխատանքի անվտանգության ապահովման համար չեն գնահատվել վտանգավոր և վնասակար գործոնների ազդեցության ռիսկերն՝ ըստ ցածր, միջին և բարձր ռիսկանության չափանիշների։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 8-րդ գլխի 41-ին և 42-րդ կետեր:"
21.1,Սահմանված կարգին համապատասխան՝ հետևյալ աշխատանքները չեն կատարվել տեխնոլոգիական քարտերով կամ աշխատանքների կատարման նախագծով 1000Վ և բարձր լարման էլեկտրասարքավորումների նորոգում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 56-րդ կետ:"
21.2,Սահմանված կարգին համապատասխան՝ հետևյալ աշխատանքները չեն կատարվել տեխնոլոգիական քարտերով կամ աշխատանքների կատարման նախագծով ցանկացած լարման օդային գծի նորոգում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 56-րդ կետ:"
22,Կազմակերպությունում ներքին իրավական ակտով նշանակված չէ համապատասխան անվտանգության խումբ ունեցող էլեկտրատնտեսության շահագործման պատասխանատու անձ։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 26-րդ գլխի 623-րդ կետ:"
23,"Կազմակերպությունը չունի էլեկտրատեղակայանքների օպերատիվ, տեխնիկական սպասարկման, նորոգման և փորձարկման աշխատանքների համար տեխնիկական կանոնակարգի պահանջները բավարարող մասնագիտացված էլեկտրատեխնիկական անձնակազմ և այդ աշխատանքների կատարումը պայմանագրային հիմունքներով չի պատվիրել սպասարկող անձին։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 26-րդ գլխի 618-րդ կետ:"
24,"Կազմակերպությունը չունի տեխնիկական կանոնակարգով սահմանված կարգով էլեկտրատեխնիկական անձնակազմի նախնական ուսուցման, հրահանգավորման, գիտելիքների ստուգման համար համապատասխան որակավորման էլեկտրատեխնիկական ղեկավար անձնակազմ և (կամ) որակավորման ստուգման հանձնաժողով, և այդ աշխատանքների կատարումը պայմանագրային հիմունքներով չի հանձնարարել մասնագիտացված կազմակերպությանը։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 26-րդ գլխի 620-րդ կետ:"
25.1,"Էներգաօբյեկտների շահագործման ժամանակ սարքավորումների, շենքերի և շինությունների վիճակի և անվտանգ շահագործման համար պատասխանատու անձինք չեն ապահովել շահագործման պայմանների պահպանումը, դրանց վիճակի հաշվառումը, էներգատեղակայանքների և դրանց տարրերի աշխատանքում խափանումների վերլուծությունն ու հաշվառումը:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 8-րդ գլխի 83-րդ կետ:"
25.2,"Էներգաօբյեկտների շահագործման ժամանակ սարքավորումների, շենքերի և շինությունների վիճակի և անվտանգ շահագործման համար պատասխանատու անձինք չեն ապահովել շահագործման-նորոգման փաստագրության վարումը:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 8-րդ գլխի 83-րդ կետ:"
26․1,Կազմակերպությունում չեն պահվում հողամասերի նկատմամբ իրավունքների պետական գրանցման վկայականները:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-իN 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 104-րդ կետի 1-ին ենթակետ:"
26․2,Կազմակերպությունում չեն պահվում տեղամասի գլխավոր հատակագիծը՝ շենքերի ու շինությունների` ներառյալ ստորգետնյա տնտեսության նշումով:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 104-րդ կետի 2-րդ ենթակետ:"
26․3,Կազմակերպությունում չեն պահվում հաստատված նախագծային փաստաթղթերը՝ բոլոր հետագա փոփոխությունների հետ միասին:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 104-րդ կետի 11-րդ ենթակետ:"
26․4,Կազմակերպությունում չեն պահվում պետական վերահսկողության մարմինների կողմից ներկայացված պահանջների վերաբերյալ համապատասխան փաստաթղթերը:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 104-րդ կետի 18-րդ ենթակետ:"
27,Տեխնոլոգիական սխեմաների (գծագրերի) համապատասխանությունը փաստացի շահագործական սխեմաներին չի ստուգվել առնվազն 2 տարին մեկ՝ դրանց վրա ստուգման մասին նշումով։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 111-րդ կետ:"
28,ԲՍ-ի էլեկտրասարքավորման փորձարկումները չեն կազմակերպվում ըստ համապատասխան նորմերի:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 39-րդ գլխի 742-րդ կետ:"
29,"Էլեկտրատեղակայանքների նախագծման կամ կառուցման ընթացքում տեղակայված չեն այնպիսի էլեկտրական սարքավորումներ, հաղորդագծեր կամ այլ սարքեր, որոնք ՀՀ օրենսդրությամբ սահմանված կարգով հավաստված են և համապատասխանում են կանոններին և այլ իրավական ակտերին։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 3-րդ գլխի 15-րդ կետ:"
30,Առկա չեն ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշման Հավելված զ-ով սահմանված մատյանները:,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելված զ:"
31․1,"Համակարգի օպերատորը Որակավորված արտադրողներին, Հաղորդողին, Բաշխողին և Որակավորված սպառողներին չի ներկայացրել ռելեական պաշտպանության և հակավթարային ավտոմատիկայի սարքվածքների նախադրվածքների փոփոխությունների վերաբերյալ առաջադրանքները։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 44-րդ գլխի 850-րդ կետի 1-ին ենթակետ։"
31․2,"Համակարգի օպերատորը Որակավորված արտադրողներին, Հաղորդողին, Բաշխողին և Որակավորված սպառողներին չի ներկայացրել ռելեական պաշտպանության և հակավթարային ավտոմատիկայի սարքվածքների պլանային ստուգումների համաձայնեցված գրաֆիկները:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 44-րդ գլխի 850-րդ կետի 2-րդ ենթակետ։"
31․3,"Համակարգի օպերատորը Որակավորված արտադրողներին, Հաղորդողին, Բաշխողին և Որակավորված սպառողներին չի ներկայացրել տրանսֆորմատորների փաթույթների չեզոքների հողանցման առաջադրանքները:","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 44-րդ գլխի 850-րդ կետի 3-րդ ենթակետ։"
